+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
| ALMOÇO1                       | SUBSTANTIVO | NOUN |           |
| ALMOÇO2                       | SUBSTANTIVO | NOUN |           |
| ALMOFADA                      | SUBSTANTIVO | NOUN |           |
| ALMONDEGA                     | SUBSTANTIVO | NOUN |           |
| ALOJAMENTO                    | SUBSTANTIVO | NOUN |           |
| ALTAR                         | SUBSTANTIVO | NOUN |           |
| ALTITUDE                      | SUBSTANTIVO | NOUN |           |
| ALTO-FALANTE                  | SUBSTANTIVO | NOUN |           |
| ALTURA                        | SUBSTANTIVO | NOUN |           |
| ALUGUEL                       | SUBSTANTIVO | NOUN |           |
| ALUGUEL                       | SUBSTANTIVO | NOUN |           |
| ALUMÍNIO                      | SUBSTANTIVO | NOUN |           |
| ALUNO                         | SUBSTANTIVO | NOUN |           |
| ALUNO                         | SUBSTANTIVO | NOUN |           |
| ALVO                          | SUBSTANTIVO | NOUN |           |
| AMAPÁ                         | SUBSTANTIVO | NOUN |           |
| AMARELINHA                    | SUBSTANTIVO | NOUN |           |
| AMAZONA                       | SUBSTANTIVO | NOUN |           |
| AMAZONAS                      | SUBSTANTIVO | NOUN |           |
| AMBIÇÃO                       | SUBSTANTIVO | NOUN |           |
| AMBULÂNCIA                    | SUBSTANTIVO | NOUN |           |
| AMENDOIM                      | SUBSTANTIVO | NOUN |           |
| AMÉRICA                       | SUBSTANTIVO | NOUN |           |
| AMÉRICA CENTRAL               | SUBSTANTIVO | NOUN |           |
| AMERICA DO NORTE              | SUBSTANTIVO | NOUN |           |
| AMERICA DO SUL                | SUBSTANTIVO | NOUN |           |
| AMIZADE                       | SUBSTANTIVO | NOUN |           |
| AMOR                          | SUBSTANTIVO | NOUN |           |
| AMORA                         | SUBSTANTIVO | NOUN |           |
| AMORTECEDOR                   | SUBSTANTIVO | NOUN |           |
| ANDAIME                       | SUBSTANTIVO | NOUN |           |
| ANEL                          | SUBSTANTIVO | NOUN |           |
| ÂNGULO                        | SUBSTANTIVO | NOUN |           |
| ANIMAL                        | SUBSTANTIVO | NOUN |           |
| ÂNIMO                         | SUBSTANTIVO | NOUN |           |
| ANIVERSÁRIO1                  | SUBSTANTIVO | NOUN |           |
| ANIVERSÁRIO2                  | SUBSTANTIVO | NOUN |           |
| ANJO                          | SUBSTANTIVO | NOUN |           |
| ANO                           | SUBSTANTIVO | NOUN |           |
| ANO NOVO3                     | SUBSTANTIVO | NOUN |           |
| ANO                           | SUBSTANTIVO | NOUN |           |
| ANO                           | SUBSTANTIVO | NOUN |           |
| ANOS                          | SUBSTANTIVO | NOUN |           |
| ANSIEDADE                     | SUBSTANTIVO | NOUN |           |
| ANTÁRTICA                     | SUBSTANTIVO | NOUN |           |
| ANTEBRAÇO                     | SUBSTANTIVO | NOUN |           |
| ANTECEDÊNCIA1                 | SUBSTANTIVO | NOUN |           |
| ANTECEDÊNCIA2                 | SUBSTANTIVO | NOUN |           |
| ANTENA PARABÓLICA             | SUBSTANTIVO | NOUN |           |
| ANTENA                        | SUBSTANTIVO | NOUN |           |
| ANTENA                        | SUBSTANTIVO | NOUN |           |
| ANTENA                        | SUBSTANTIVO | NOUN |           |
| ANTEPASSADOS                  | SUBSTANTIVO | NOUN |           |
| ANTICONCEPCIONAL              | SUBSTANTIVO | NOUN |           |
| ANTILHAS                      | SUBSTANTIVO | NOUN |           |
| ANULAR                        | SUBSTANTIVO | NOUN |           |
| ANÚNCIO                       | SUBSTANTIVO | NOUN |           |
| ÂNUS1                         | SUBSTANTIVO | NOUN |           |
| ÂNUS2                         | SUBSTANTIVO | NOUN |           |
| ANZOL                         | SUBSTANTIVO | NOUN |           |
| APAGADOR                      | SUBSTANTIVO | NOUN |           |
| APARELHO AUDITIVO             | SUBSTANTIVO | NOUN |           |
| APARELHO DE SOM               | SUBSTANTIVO | NOUN |           |
| APARTAMENTO                   | SUBSTANTIVO | NOUN |           |
| APELIDO                       | SUBSTANTIVO | NOUN |           |
